year,month,monthlyrain,yearmonth
1967,4,1024,Apr 1967
1967,5,534,May 1967
1967,6,72,Jun 1967
1967,7,9,Jul 1967
1967,8,41,Aug 1967
1967,9,63,Sep 1967
1967,10,788,Oct 1967
1967,11,384,Nov 1967
1967,12,43,Dec 1967
1968,1,532,Jan 1968
1968,2,38,Feb 1968
1968,3,1266,Mar 1968
1968,4,1379,Apr 1968
1968,5,505,May 1968
1968,6,0,Jun 1968
1968,7,37,Jul 1968
1968,8,61,Aug 1968
1968,9,11,Sep 1968
1968,10,390,Oct 1968
1968,11,53,Nov 1968
1968,12,1109,Dec 1968
1969,1,260,Jan 1969
1969,2,781,Feb 1969
1969,3,1007,Mar 1969
1969,4,748,Apr 1969
1969,5,380,May 1969
1969,6,0,Jun 1969
1969,7,0,Jul 1969
1969,8,185,Aug 1969
1969,9,85,Sep 1969
1969,10,1786,Oct 1969
1969,11,31,Nov 1969
1969,12,289,Dec 1969
1970,1,570,Jan 1970
1970,2,444,Feb 1970
1970,3,346,Mar 1970
1970,4,335,Apr 1970
1970,5,356,May 1970
1970,6,375,Jun 1970
1970,7,307,Jul 1970
1970,8,67,Aug 1970
1970,9,351,Sep 1970
1970,10,565,Oct 1970
1970,11,305,Nov 1970
1970,12,987,Dec 1970
1971,1,983,Jan 1971
1971,2,665,Feb 1971
1971,3,895,Mar 1971
1971,4,461,Apr 1971
1971,5,383,May 1971
1971,6,34,Jun 1971
1971,7,39,Jul 1971
1971,8,0,Aug 1971
1971,9,41,Sep 1971
1971,10,615,Oct 1971
1971,11,188,Nov 1971
1971,12,814,Dec 1971
1972,1,1111,Jan 1972
1972,2,2542,Feb 1972
1972,3,1320,Mar 1972
1972,4,317,Apr 1972
1972,5,65,May 1972
1972,6,223,Jun 1972
1972,7,0,Jul 1972
1972,8,15,Aug 1972
1972,9,0,Sep 1972
1972,10,287,Oct 1972
1972,11,505,Nov 1972
1972,12,194,Dec 1972
1973,1,167,Jan 1973
1973,2,1253,Feb 1973
1973,3,603,Mar 1973
1973,4,248,Apr 1973
1973,5,24,May 1973
1973,6,1,Jun 1973
1973,7,3,Jul 1973
1973,8,186,Aug 1973
1973,9,611,Sep 1973
1973,10,39,Oct 1973
1973,11,1103,Nov 1973
1973,12,578,Dec 1973
1974,1,2502,Jan 1974
1974,2,1851,Feb 1974
1974,3,1230,Mar 1974
1974,4,736,Apr 1974
1974,5,356,May 1974
1974,6,22,Jun 1974
1974,7,0,Jul 1974
1974,8,397,Aug 1974
1974,9,85,Sep 1974
1974,10,136,Oct 1974
1974,11,1318,Nov 1974
1974,12,560,Dec 1974
1975,1,1158,Jan 1975
1975,2,931,Feb 1975
1975,3,1095,Mar 1975
1975,4,232,Apr 1975
1975,5,158,May 1975
1975,6,176,Jun 1975
1975,7,169,Jul 1975
1975,8,96,Aug 1975
1975,9,283,Sep 1975
1975,10,102,Oct 1975
1975,11,1028,Nov 1975
1975,12,1354,Dec 1975
1976,1,1858,Jan 1976
1976,2,1505,Feb 1976
1976,3,1323,Mar 1976
1976,4,454,Apr 1976
1976,5,150,May 1976
1976,6,230,Jun 1976
1976,7,0,Jul 1976
1976,8,0,Aug 1976
1976,9,520,Sep 1976
1976,10,1125,Oct 1976
1976,11,379,Nov 1976
1976,12,782,Dec 1976
1977,1,910,Jan 1977
1977,2,956,Feb 1977
1977,3,1677,Mar 1977
1977,4,348,Apr 1977
1977,5,112,May 1977
1977,6,0,Jun 1977
1977,7,0,Jul 1977
1977,8,143,Aug 1977
1977,9,710,Sep 1977
1977,10,101,Oct 1977
1977,11,0,Nov 1977
1977,12,161,Dec 1977
1978,1,662,Jan 1978
1978,2,632,Feb 1978
1978,3,873,Mar 1978
1978,4,868,Apr 1978
1978,5,0,May 1978
1978,6,11,Jun 1978
1978,7,0,Jul 1978
1978,8,26,Aug 1978
1978,9,294,Sep 1978
1978,10,59,Oct 1978
1978,11,214,Nov 1978
1978,12,801,Dec 1978
1979,1,462,Jan 1979
1979,2,749,Feb 1979
1979,3,250,Mar 1979
1979,4,130,Apr 1979
1979,5,239,May 1979
1979,6,15,Jun 1979
1979,7,302,Jul 1979
1979,8,680,Aug 1979
1979,9,67,Sep 1979
1979,10,375,Oct 1979
1979,11,423,Nov 1979
1979,12,679,Dec 1979
1980,1,277,Jan 1980
1980,2,431,Feb 1980
1980,3,330,Mar 1980
1980,4,180,Apr 1980
1980,5,19,May 1980
1980,6,3,Jun 1980
1980,7,0,Jul 1980
1980,8,145,Aug 1980
1980,9,591,Sep 1980
1980,10,7,Oct 1980
1980,11,601,Nov 1980
1980,12,420,Dec 1980
1981,1,1519,Jan 1981
1981,2,2511,Feb 1981
1981,3,577,Mar 1981
1981,4,420,Apr 1981
1981,5,343,May 1981
1981,6,314,Jun 1981
1981,7,1,Jul 1981
1981,8,717,Aug 1981
1981,9,303,Sep 1981
1981,10,157,Oct 1981
1981,11,170,Nov 1981
1981,12,1276,Dec 1981
1982,1,491,Jan 1982
1982,2,512,Feb 1982
1982,3,399,Mar 1982
1982,4,1382,Apr 1982
1982,5,0,May 1982
1982,6,358,Jun 1982
1982,7,149,Jul 1982
1982,8,0,Aug 1982
1982,9,214,Sep 1982
1982,10,1281,Oct 1982
1982,11,831,Nov 1982
1982,12,627,Dec 1982
1983,1,122,Jan 1983
1983,2,528,Feb 1983
1983,3,335,Mar 1983
1983,4,440,Apr 1983
1983,5,422,May 1983
1983,6,247,Jun 1983
1983,7,406,Jul 1983
1983,8,0,Aug 1983
1983,9,307,Sep 1983
1983,10,355,Oct 1983
1983,11,1075,Nov 1983
1983,12,565,Dec 1983
1984,1,1107,Jan 1984
1984,2,366,Feb 1984
1984,3,577,Mar 1984
1984,4,335,Apr 1984
1984,5,529,May 1984
1984,6,1041,Jun 1984
1984,7,5,Jul 1984
1984,8,13,Aug 1984
1984,9,0,Sep 1984
1984,10,308,Oct 1984
1984,11,396,Nov 1984
1984,12,474,Dec 1984
1985,1,483,Jan 1985
1985,2,1064,Feb 1985
1985,3,516,Mar 1985
1985,4,150,Apr 1985
1985,5,18,May 1985
1985,6,109,Jun 1985
1985,7,0,Jul 1985
1985,8,0,Aug 1985
1985,9,16,Sep 1985
1985,10,399,Oct 1985
1985,11,541,Nov 1985
1985,12,1084,Dec 1985
1986,1,306,Jan 1986
1986,2,368,Feb 1986
1986,3,844,Mar 1986
1986,4,204,Apr 1986
1986,5,234,May 1986
1986,6,43,Jun 1986
1986,7,0,Jul 1986
1986,8,38,Aug 1986
1986,9,117,Sep 1986
1986,10,1561,Oct 1986
1986,11,1051,Nov 1986
1986,12,488,Dec 1986
1987,1,779,Jan 1987
1987,2,1265,Feb 1987
1987,3,438,Mar 1987
1987,4,644,Apr 1987
1987,5,262,May 1987
1987,6,23,Jun 1987
1987,7,142,Jul 1987
1987,8,189,Aug 1987
1987,9,1361,Sep 1987
1987,10,141,Oct 1987
1987,11,490,Nov 1987
1987,12,583,Dec 1987
1988,1,569,Jan 1988
1988,2,3873,Feb 1988
1988,3,1818,Mar 1988
1988,4,990,Apr 1988
1988,5,97,May 1988
1988,6,86,Jun 1988
1988,7,26,Jul 1988
1988,8,0,Aug 1988
1988,9,528,Sep 1988
1988,10,958,Oct 1988
1988,11,1121,Nov 1988
1988,12,833,Dec 1988
1989,1,1245,Jan 1989
1989,2,1627,Feb 1989
1989,3,902,Mar 1989
1989,4,499,Apr 1989
1989,5,196,May 1989
1989,6,209,Jun 1989
1989,7,25,Jul 1989
1989,8,51,Aug 1989
1989,9,56,Sep 1989
1989,10,94,Oct 1989
1989,11,1040,Nov 1989
1989,12,383,Dec 1989
1990,1,633,Jan 1990
1990,2,825,Feb 1990
1990,3,687,Mar 1990
1990,4,694,Apr 1990
1990,5,43,May 1990
1990,6,206,Jun 1990
1990,7,13,Jul 1990
1990,8,167,Aug 1990
1990,9,11,Sep 1990
1990,10,33,Oct 1990
1990,11,32,Nov 1990
1990,12,665,Dec 1990
1991,1,1669,Jan 1991
1991,2,983,Feb 1991
1991,3,1371,Mar 1991
1991,4,20,Apr 1991
1991,5,0,May 1991
1991,6,219,Jun 1991
1991,7,41,Jul 1991
1991,8,0,Aug 1991
1991,9,436,Sep 1991
1991,10,1940,Oct 1991
1991,11,544,Nov 1991
1991,12,458,Dec 1991
1992,1,391,Jan 1992
1992,2,124,Feb 1992
1992,3,234,Mar 1992
1992,4,182,Apr 1992
1992,5,0,May 1992
1992,6,399,Jun 1992
1992,7,0,Jul 1992
1992,8,124,Aug 1992
1992,9,0,Sep 1992
1992,10,221,Oct 1992
1992,11,1222,Nov 1992
1992,12,94,Dec 1992
1993,1,489,Jan 1993
1993,2,1481,Feb 1993
1993,3,727,Mar 1993
1993,4,202,Apr 1993
1993,5,96,May 1993
1993,6,6,Jun 1993
1993,7,0,Jul 1993
1993,8,239,Aug 1993
1993,9,538,Sep 1993
1993,10,1795,Oct 1993
1993,11,393,Nov 1993
1993,12,275,Dec 1993
1994,1,1585,Jan 1994
1994,2,1719,Feb 1994
1994,3,978,Mar 1994
1994,4,3,Apr 1994
